Sample ID,Site,Material,averageN,averageC
MS-NE-Pine1,Pine,MineralSoil,0.163475,2.49555
MS-SW-Pine1,Pine,MineralSoil,0.146135,2.2759
MS-NW-Pine1,Pine,MineralSoil,0.136965,2.08565
MS-SE-Pine1,Pine,MineralSoil,0.179445,2.24745
OS-NE-Pine1,Pine,OrganicSoil,0.598175,15.1655
OS-SW-Pine1,Pine,OrganicSoil,0.435255,8.0335
OS-NW-Pine1,Pine,OrganicSoil,0.768905,19.782
OS-SE-Pine1,Pine,OrganicSoil,0.436005,9.6191
OL-NE-Pine1,Pine,Litter,1.12005,44.2685
OL-SW-Pine1,Pine,Litter,1.3782,50.305
OL-NW-Pine1,Pine,Litter,1.2922,51.7605
OL-SE-Pine1,Pine,Litter,0.90081,52.4165
HL-SW-Pine1,Pine,Herbaceous,2.15175,39.851
HL-SE-Pine1,Pine,Herbaceous,3.9491,45.522
MS-NE-Syc1,Sycamore,MineralSoil,0.185965,2.2815
MS-SW-Syc1,Sycamore,MineralSoil,0.21038,2.3862
MS-NW-Syc1,Sycamore,MineralSoil,0.11311,1.293
MS-SE-Syc1,Sycamore,MineralSoil,0.150405,1.6535
OS-NE-Syc1,Sycamore,OrganicSoil,1.8981,36.5355
OS-SW-Syc1,Sycamore,OrganicSoil,1.61415,25.23
OS-NW-Syc1,Sycamore,OrganicSoil,1.3794,23.5155
OS-SE-Syc1,Sycamore,OrganicSoil,1.3424,23.7865
OL-NE-Syc1,Sycamore,Litter,2.06615,43.136
OL-SW-Syv1,Sycamore,Litter,1.87465,50.4025
OL-NW-Syc1,Sycamore,Litter,1.6105,46.2115
OL-SE-Syc1,Sycamore,Litter,1.97985,41.714
HL-NE-syc1,Sycamore,Herbaceous,2.94075,41.8125
HL-SW-Syc1,Sycamore,Herbaceous,2.39855,43.918
HL-NW-Syc1,Sycamore,Herbaceous,2.98905,41.6775
HL-SE-Syc1,Sycamore,Herbaceous,2.55135,41.431
MS-NE-Hill1,FernTrail,MineralSoil,0.36059,6.02945
MS-SW-Hill1,FernTrail,MineralSoil,0.15969,2.90455
MS-NW-Hill1,FernTrail,MineralSoil,0.07294,2.2013
MS-SE-Hill1,FernTrail,MineralSoil,0.204605,4.5579
OS-NE-Hill1,FernTrail,OrganicSoil,0.659775,12.187
OS-SW-Hill1,FernTrail,OrganicSoil,0.745795,12.509
OS-NW-Hill1,FernTrail,OrganicSoil,0.72668,17.3745
OS-SE-Hill1,FernTrail,OrganicSoil,1.34555,35.1655
OL-NE-Hill1,FernTrail,Litter,1.58865,46.7225
OL-SW-Hill1,FernTrail,Litter,1.88075,44.9725
OL-NW-Hill1,FernTrail,Litter,1.53005,49.1285
OL-SE-Hill1,FernTrail,Litter,1.9959,46.503
HL-NE-Hill1,FernTrail,Herbaceous,2.53755,47.603
HL-SW-Hill1,FernTrail,Herbaceous,2.7249,44.328
HL-NW-Hill1,FernTrail,Herbaceous,2.4969,49.1195
HL-SE-Hill1,FernTrail,Herbaceous,2.4752,47.181
