Genus,Species,coef.a,pow.b
Acer,rubrum,21.73,3.65
Acer,spicatum,43.66,2.63
Alnus,crispa,39.68,2.7
Alnus,rugosa,31.33,3.05
Amelanchier,spp,37.91,2.96
Betula,papyrifera,22.87,3.5
Cornus,rugosa,32.42,3.15
Corylus,cornuta,38.03,3.27
Lonicera,canadensis,28.09,2.17
Lonicera,hirsuta,46,3.4
Lonicera,oblongifolia,18.09,3.09
Populus,tremuloides,34.5,2.87
Prunus,pennsylvanica,49.92,2.55
Prunus,virginiana,35.58,2.7
Rhamnus,alnifolia,30.97,2.76
Ribes,spp,32,5.26
Rosa,acicularis,14.53,3.04
Rosa,blanda,31.18,4.07
Rubus,strigosus,11.52,4.03
Salix,spp,17.82,4.92
Sorbus,americana,13.98,4.9
Viburnum,rafinesquianum,39.92,4.13
