SpeciesGroup,TreeSpecies
aa,Alnus.rhombifolia
aa,Alnus.rubra
aa,Alnus.rugosa
aa,Populus.alba
aa,Populus.angustifolia
aa,Populus.balsamifera
aa,Populus.deltoides
aa,Populus.fremontii
aa,Populus.grandidentata
aa,Populus.heterophylla
aa,Populus.sargentii
aa,Populus.spp
aa,Populus.tremuloides
aa,Populus.trichocarpa
aa,Salix.amygdaloides
aa,Salix.eriocephala
aa,Salix.nigra
aa,Salix.spp
mo,Acer.nigrum
mo,Acer.saccharum
mo,Carya.aquatica
mo,Carya.cordiformis
mo,Carya.glabra
mo,Carya.illinoensis
mo,Carya.laciniosa
mo,Carya.ovata
mo,Carya.spp
mo,Carya.texana
mo,Carya.tomentosa
mo,Fagus.grandifolia
mo,Quercus.agrifolia
mo,Quercus.alba
mo,Quercus.bicolor
mo,Quercus.chrysolepis
mo,Quercus.coccinea
mo,Quercus.douglasii
mo,Quercus.durandii
mo,Quercus.ellipsoidalis
mo,Quercus.engelmannii
mo,Quercus.falcata
mo,Quercus.garryana
mo,Quercus.ilicifolia
mo,Quercus.imbricaria
mo,Quercus.incana
mo,Quercus.kelloggii
mo,Quercus.laevis
mo,Quercus.laurifolia
mo,Quercus.lobata
mo,Quercus.lyrata
mo,Quercus.macrocarpa
mo,Quercus.marilandica
mo,Quercus.michauxii
mo,Quercus.muehlenbergii
mo,Quercus.nigra
mo,Quercus.nuttalii
mo,Quercus.palustris
mo,Quercus.phellos
mo,Quercus.prinus
mo,Quercus.rubra
mo,Quercus.shumardii
mo,Quercus.spp
mo,Quercus.stellata
mo,Quercus.velutina
mo,Quercus.virginiana
mo,Quercus.wislizeni
mh,Aesculus.californica
mh,Aesculus.glabra
mh,Aesculus.octandra
mh,Aesculus.spp
mh,Aesculus.spp
mh,Ailanthus.altissima
mh,Ailanthus.fordii
mh,Amelanchier.spp
mh,Arbutus.menziesii
mh,Asimina.triloba
mh,Bumelia.lanuginosa
mh,Carpinus.caroliniana
mh,Castanea.dentata
mh,Castanea.ozarkensis
mh,Castanea.pumila
mh,Castanopsis.chrysophylla
mh,Castanopsis.spp
mh,Catalpa.bignonioides
mh,Catalpa.speciosa
mh,Catalpa.spp
mh,Celtis.laevigata
mh,Celtis.occidentalis
mh,Celtis.spp
mh,Cercis.canadensis
mh,Cornus.florida
mh,Cornus.nuttallii
mh,Cotinus.obovatus
mh,Crataegus.spp
mh,Diospyros.virginiana
mh,Eucalyptus.spp
mh,Fraxinus.americana
mh,Fraxinus.latifolia
mh,Fraxinus.nigra
mh,Fraxinus.pennsylvanica
mh,Fraxinus.profunda
mh,Fraxinus.quadrangulata
mh,Fraxinus.spp
mh,Gleditsia.aquatica
mh,Gleditsia.triacanthos
mh,Gordonia.lasianthus
mh,Gymnocladus.dioicus
mh,Halesia.spp
mh,Hardwood.spp
mh,Ilex.opaca
mh,Juglans.cinerea
mh,Juglans.nigra
mh,Juglans.spp
mh,Liquidambar.styraciflua
mh,Liriodendron.tulipifera
mh,Lithocarpus.densiflorus
mh,Maclura.pomifera
mh,Magnolia.acuminata
mh,Magnolia.grandiflora
mh,Magnolia.macrophylla
mh,Magnolia.spp
mh,Magnolia.virginiana
mh,Malus.spp
mh,Melia.azedarach
mh,Morus.alba
mh,Morus.rubra
mh,Morus.spp
mh,Nyssa.aquatica
mh,Nyssa.ogeche
mh,Nyssa.sylvatica
mh,Ostrya.virginiana
mh,Oxydendrum.arboreum
mh,Paulownia.tomentosa
mh,Persea.borbonia
mh,Planera.aquatica
mh,Platanus.occidentalis
mh,Platanus.racemosa
mh,Prunus.americana
mh,Prunus.nigra
mh,Prunus.pensylvanica
mh,Prunus.serotina
mh,Prunus.spp
mh,Prunus.spp
mh,Prunus.virginiana
mh,Robinia.psuedoacacia
mh,Sapium.sebiferum
mh,Sassafras.albidum
mh,Sorbus.americana
mh,Sorbus.aucuparia
mh,Tilia.americana
mh,Tilia.heterophylla
mh,Tilia.spp
mh,Ulmus.alata
mh,Ulmus.americana
mh,Ulmus.crassifolia
mh,Ulmus.pumila
mh,Ulmus.rubra
mh,Ulmus.serotina
mh,Ulmus.spp
mh,Ulmus.thomasii
mh,Umbellularia.californica
mh,Vaccinium.arboreum
mb,Acer.barbatum
mb,Acer.macrophyllum
mb,Acer.negundo
mb,Acer.pensylvanicum
mb,Acer.rubrum
mb,Acer.saccharinum
mb,Acer.spicatum
mb,Betula.alleghaniensis
mb,Betula.lenta
mb,Betula.nigra
mb,Betula.occidentalis
mb,Betula.papyrifera
mb,Betula.populifolia
mb,Betula.spp
cl,Calocedrus.decurrens
cl,Chamaecyparis.lawsoniana
cl,Chamaecyparis.nootkatensis
cl,Chamaecyparis.thyoides
cl,Juniperus.silicicola
cl,Juniperus.virginiana
cl,Larix.laricina
cl,Larix.lyallii
cl,Larix.occidentalis
cl,Larix.spp
cl,Sequoia.sempervirens
cl,Sequoiadendron.giganteum
cl,Taxodium.distichum
cl,Thuja.occidentalis
cl,Thuja.plicata
df,Pseudotsuga.macrocarpa
df,Pseudotsuga.menziesii
pi,Pinus.albicaulis
pi,Pinus.aristata
pi,Pinus.arizonica
pi,Pinus.attenuata
pi,Pinus.balfouriana
pi,Pinus.banksiana
pi,Pinus.clausa
pi,Pinus.contorta
pi,Pinus.coulteri
pi,Pinus.discolor
pi,Pinus.echinata
pi,Pinus.edulis
pi,Pinus.elliottii
pi,Pinus.engelmannii
pi,Pinus.flexilis
pi,Pinus.glabra
pi,Pinus.jeffreyi
pi,Pinus.lambertiana
pi,Pinus.leiophylla
pi,Pinus.monophylla
pi,Pinus.monticola
pi,Pinus.muricata
pi,Pinus.nigra
pi,Pinus.palustris
pi,Pinus.ponderosa
pi,Pinus.pungens
pi,Pinus.radiata
pi,Pinus.resinosa
pi,Pinus.rigida
pi,Pinus.sabiniana
pi,Pinus.serotina
pi,Pinus.strobiformis
pi,Pinus.strobus
pi,Pinus.sylvestris
pi,Pinus.taeda
pi,Pinus.virginiana
sp,Picea.abies
sp,Picea.breweriana
sp,Picea.engelmannii
sp,Picea.glauca
sp,Picea.mariana
sp,Picea.pungens
sp,Picea.rubens
sp,Picea.sitchensis
sp,Picea.spp
tf,Abies.amabilis
tf,Abies.balsamea
tf,Abies.bracteata
tf,Abies.concolor
tf,Abies.fraseri
tf,Abies.grandis
tf,Abies.lasiocarpa
tf,Abies.magnifica
tf,Abies.procera
tf,Abies.spp
tf,Taxus.brevifolia
tf,Torreya.californica
tf,Tsuga.canadensis
tf,Tsuga.caroliniana
tf,Tsuga.heterophylla
tf,Tsuga.mertensiana
tf,Tsuga.spp
wo,Acacia.spp
wo,Acer.glabrum
wo,Acer.grandidentatum
wo,Cercocarpus.intricatus
wo,Cercocarpus.ledifolius
wo,Cercocarpus.montanus
wo,Cupressus.arizonica
wo,Cupressus.spp
wo,Juniperus.californica
wo,Juniperus.communis
wo,Juniperus.deppeana
wo,Juniperus.erythrocarpa
wo,Juniperus.monosperma
wo,Juniperus.occidentalis
wo,Juniperus.osteosperma
wo,Juniperus.pinchotti
wo,Juniperus.scopulorum
wo,Olneya.tesota
wo,Prosopis.spp
wo,Prunus.emarginata
wo,Quercus.arizonicagrisea
wo,Quercus.emoryi
wo,Quercus.gambelii
wo,Quercus.hypoleucoides
wo,Quercus.oblongifolia
wo,Quercus.spp
wo,Quercus.spp
wo,Robinia.neomexicana
