family_old_with_errors,family,genus,taxon,species,name_matched,accepted_name,Taxonomic_status,limit.s,limit.n,lat.mid,lat.ext,trop.frac,temp.frac,tropicality
acanthaceae,acanthaceae,poikilacanthus,poikilacanthus_glandulosus,glandulosus,poikilacanthus_glandulosus,poikilacanthus_glandulosus,Accepted,-27.4,-25.6,-26.5,1.8,0,-1,-1
acanthaceae,acanthaceae,ruellia,ruellia_coerulea,coerulea,ruellia_coerulea,ruellia_coerulea,Accepted,-25.7,-17.1,-21.4,8.6,0.744186047,-0.255813953,0.488372093
acanthaceae,acanthaceae,aphelandra,aphelandra_castanifolia,castanifolia,aphelandra_castanifolia,aphelandra_castanifolia,Accepted,-18.1,-15.7,-16.9,2.4,1,0,1
acanthaceae,acanthaceae,ruellia,ruellia_sanguinea,sanguinea,ruellia_sanguinea,ruellia_sanguinea,Accepted,-27.2,-1.7,-14.4,25.5,0.854901961,-0.145098039,0.709803922
acanthaceae,acanthaceae,ruellia,ruellia_brevifolia,brevifolia,ruellia_brevifolia,ruellia_brevifolia,Accepted,-25.4,-0.1,-12.7,25.3,0.924901186,-0.075098814,0.849802372
acanthaceae,acanthaceae,ruellia,ruellia_puri,puri,ruellia_puri,ruellia_jussieuoides,Synonym,-17.7,-3.1,-10.4,14.7,1,0,1
acanthaceae,acanthaceae,justicia,justicia_appendiculata,appendiculata,justicia_appendiculata,justicia_appendiculata,Accepted,-17.5,-0.7,-9.1,16.8,1,0,1
acanthaceae,acanthaceae,justicia,justicia_stuebelii,stuebelii,justicia_stuebelii,justicia_pectoralis,Synonym,-15.3,-0.8,-8.1,14.5,1,0,1
acanthaceae,acanthaceae,mendoncia,mendoncia_glabra,glabra,mendoncia_glabra,mendoncia_glabra,Accepted,-13.4,-1.1,-7.2,12.3,1,0,1
acanthaceae,acanthaceae,justicia,justicia_poeppigiana,poeppigiana,justicia_poeppigiana,justicia_poeppigiana,Accepted,-11.8,-1.8,-6.8,10,1,0,1
acanthaceae,acanthaceae,justicia,justicia_iochila,iochila,justicia_iochila,justicia_iochila,Accepted,-11.5,-2.1,-6.8,9.4,1,0,1
acanthaceae,acanthaceae,mendoncia,mendoncia_aspera,aspera,mendoncia_aspera,mendoncia_aspera,Accepted,-14.4,0.9,-6.7,15.3,1,0,1
acanthaceae,acanthaceae,aphelandra,aphelandra_jacobinioides,jacobinioides,aphelandra_jacobinioides,aphelandra_jacobinioides,Accepted,-10.2,-2.6,-6.4,7.6,1,0,1
acanthaceae,acanthaceae,justicia,justicia_sericea,sericea,justicia_sericea,justicia_sericea,Accepted,-9.7,-2.5,-6.1,7.2,1,0,1
acanthaceae,acanthaceae,ruellia,ruellia_floribunda,floribunda,ruellia_floribunda,ruellia_floribunda,Accepted,-11.5,-0.6,-6.1,10.9,1,0,1
acanthaceae,acanthaceae,justicia,justicia_ramulosa,ramulosa,justicia_ramulosa,justicia_ramulosa,Accepted,-26.9,14.8,-6.1,41.7,0.918465228,-0.081534772,0.836930456
acanthaceae,acanthaceae,aphelandra,aphelandra_ferreyrae,ferreyrae,aphelandra_ferreyrae,aphelandra_ferreyrae,Accepted,-10.2,-1.7,-6,8.5,1,0,1
acanthaceae,acanthaceae,aphelandra,aphelandra_hylaea,hylaea,aphelandra_hylaea,aphelandra_hylaea,Accepted,-13.2,1.3,-5.9,14.5,1,0,1
acanthaceae,acanthaceae,ruellia,ruellia_glischrocalyx,glischrocalyx,ruellia_glischrocalyx,ruellia_glischrocalyx,Accepted,-10.6,-0.8,-5.7,9.8,1,0,1
acanthaceae,acanthaceae,aphelandra,aphelandra_ochrolarynx,ochrolarynx,aphelandra_ochrolarynx,aphelandra_rosulata,Synonym,-9.7,-1.5,-5.6,8.2,1,0,1
acanthaceae,acanthaceae,aphelandra,aphelandra_acanthifolia,acanthifolia,aphelandra_acanthifolia,aphelandra_acanthifolia,Accepted,-6.5,-4,-5.2,2.5,1,0,1
acanthaceae,acanthaceae,justicia,justicia_schomburgkiana,schomburgkiana,justicia_schomburgkiana,justicia_schomburgkiana,Accepted,-13.5,3.4,-5.1,16.9,1,0,1
acanthaceae,acanthaceae,aphelandra,aphelandra_glabrata,glabrata,aphelandra_glabrata,aphelandra_glabrata,Accepted,-15.6,6.5,-4.6,22.1,1,0,1
acanthaceae,acanthaceae,ruellia,ruellia_geminiflora,geminiflora,ruellia_geminiflora,ruellia_geminiflora,Accepted,-26.1,16.8,-4.6,43,0.939393939,-0.060606061,0.878787879
acanthaceae,acanthaceae,mendoncia,mendoncia_sprucei,sprucei,mendoncia_sprucei,mendoncia_sprucei,Accepted,-13,4.4,-4.3,17.4,1,0,1
acanthaceae,acanthaceae,poikilacanthus,poikilacanthus_harlingii,harlingii,poikilacanthus_harlingii,poikilacanthus_harlingii,Accepted,-4.2,-3.8,-4,0.4,1,0,1
acanthaceae,acanthaceae,ruellia,ruellia_phyllocalyx,phyllocalyx,ruellia_phyllocalyx,ruellia_phyllocalyx,Accepted,-4.2,-3.5,-3.9,0.7,1,0,1
