reference,growthform,leafhabit,phylogeny,Family,Species,treesmeasured,delta13C,delta13Cair,delta13CairA,deltaleaf,locationmean,latitudeE,longitudeN,location,continent,altitude,MAP,P-JJA,MAT,T-JJA,VPD,PET,percentsun,Continentality,frostfreedays,BiomeK,BiomeL
Chevillat et al. (4),Tree,E,G ,Pinaceae,Abies_alba,1,-27.66,-7.98,E,20.24,19.56,47.47,7.5,"Basel, Switzerland",EU,550,795,362.04,9.8,17.9,6.82,599,31.7,21.6,20,CCMF,CCF
Chevillat et al. (4),Tree,E,G ,Pinaceae,Picea_abies,8,-25.65,-7.98,E,18.14,,47.47,7.5,"Basel, Switzerland",EU,550,795,362.04,9.8,17.9,6.82,599,31.7,21.6,20,CCMF,CCF
Chevillat et al. (4),Tree,E,G ,Pinaceae,Pinus_sylvestris,5,-25.88,-7.98,E,18.38,,47.47,7.5,"Basel, Switzerland",EU,550,795,362.04,9.8,17.9,6.82,599,31.7,21.6,20,CCMF,CCF
Chevillat et al. (4),Tree,D,G ,Pinaceae,Larix_decidua,8,-28.19,-7.98,E,20.8,,47.47,7.5,"Basel, Switzerland",EU,550,795,362.04,9.8,17.9,6.82,599,31.7,21.6,20,CCMF,CCF
Chevillat et al. (4),Tree,D,A ,Sapindaceae,Acer_campestre,4,-27.76,-7.98,E,20.34,,47.47,7.5,"Basel, Switzerland",EU,550,795,362.04,9.8,17.9,6.82,599,31.7,21.6,20,CCMF,CCF
Chevillat et al. (4),Tree,D,A,Betulaceae,Carpinus_betulus,7,-26.67,-7.98,E,19.2,,47.47,7.5,"Basel, Switzerland",EU,550,795,362.04,9.8,17.9,6.82,599,31.7,21.6,20,CCMF,CCF
Chevillat et al. (4),Tree,D,A,Fagaceae,Fagus_sylvatica,8,-27.88,-7.98,E,20.47,,47.47,7.5,"Basel, Switzerland",EU,550,795,362.04,9.8,17.9,6.82,599,31.7,21.6,20,CCMF,CCF
Chevillat et al. (4),Tree,D,A,Rosaceae,Prunus_avium,3,-26.79,-7.98,E,19.33,,47.47,7.5,"Basel, Switzerland",EU,550,795,362.04,9.8,17.9,6.82,599,31.7,21.6,20,CCMF,CCF
Chevillat et al. (4),Tree,D,A,Fagaceae,Quercus_petraea,8,-26.77,-7.98,E,19.31,,47.47,7.5,"Basel, Switzerland",EU,550,795,362.04,9.8,17.9,6.82,599,31.7,21.6,20,CCMF,CCF
Chevillat et al. (4),Tree,D,A,Malvaceae,Tilia_platyphyllos,3,-26.89,-7.98,E,19.43,,47.47,7.5,"Basel, Switzerland",EU,550,795,362.04,9.8,17.9,6.82,599,31.7,21.6,20,CCMF,CCF
Kloeppel et al. (5),Tree,D,G ,Pinaceae,Larix_occidentalis,10,-26.36,-7.9,E,18.95,18.58,46.85,-113.88,"Bonner, MT USA ",NAm,1158,740.12,145.6,6.1,16.3,9.04,958.1,60.9,36.4,45,CCEF,CCF
Kloeppel et al. (5),Tree,E,G ,Pinaceae,Pseudotsuga_menziesii,10,-25.64,-7.9,E,18.21,,46.85,-113.88,"Bonner, MT USA ",NAm,1158,740.12,145.6,6.1,16.3,9.04,958.1,60.9,36.4,45,CCEF,CCF
Kloeppel et al. (5),Tree,D,G ,Pinaceae,Larix_occidentalis,10,-27.06,-7.9,E,19.69,19.58,47.92,-113.82,"Lost Creek, MT USA ",NAm,1012,588.48,126.9,4.1,12.9,6.38,880.4,56.1,30.3,48,CCMF,CCF
Kloeppel et al. (5),Tree,E,G ,Pinaceae,Pseudotsuga_menziesii,10,-26.85,-7.9,E,19.47,,47.92,-113.82,"Lost Creek, MT USA ",NAm,1012,588.48,126.9,4.1,12.9,6.38,880.4,56.1,30.3,48,CCMF,CCF
Kloeppel et al. (5),Tree,D,G ,Pinaceae,Larix_occidentalis,5,-27.33,-7.9,E,19.98,20.42,48.42,-115.8,"Savage Lake, MT USA ",NAm,706,826.49,139.3,4.9,14.6,7.72,881,43.1,31.4,42,CCEF,CCF
Kloeppel et al. (5),Tree,E,G ,Pinaceae,Pinus_contorta,10,-28.18,-7.9,E,20.87,,48.42,-115.8,"Savage Lake, MT USA ",NAm,706,826.49,139.3,4.9,14.6,7.72,881,43.1,31.4,42,CCEF,CCF
Kloeppel et al. (5),Tree,D,G ,Pinaceae,Larix_lyallii,5,-26.85,-7.9,E,19.47,18.83,46.7,-114.17,"Carlton Ridge, MT USA ",NAm,2130,941.47,164.4,6.3,16.3,8.94,1074.4,83.7,32.6,43,CCMF,CCF
Kloeppel et al. (5),Tree,E,G ,Pinaceae,Pinus_albicaulis,5,-25.63,-7.9,E,18.2,,46.7,-114.17,"Carlton Ridge, MT USA ",NAm,2130,941.47,164.4,6.3,16.3,8.94,1074.4,83.7,32.6,43,CCMF,CCF
Kloeppel et al. (5),Tree,D,G ,Pinaceae,Larix_larcina,5,-28.77,-7.9,E,21.49,20.4,45.77,-89.57,"Lake Tomahawk, WI USA ",NAm,482,811.29,305.5,4.4,17.3,5.45,798.2,51.8,55.4,48,CCMF,CCF
Kloeppel et al. (5),Tree,E,G ,Pinaceae,Picea_mariana,5,-26.7,-7.9,E,19.32,,45.77,-89.57,"Lake Tomahawk, WI USA ",NAm,482,811.29,305.5,4.4,17.3,5.45,798.2,51.8,55.4,48,CCMF,CCF
Kloeppel et al. (5),Tree,D,G ,Pinaceae,Larix_larcina,5,-28.58,-7.9,E,21.29,19.69,45.93,-66.63,"Fredericton, NB Canada ",NAm,72,1142.4,275.67,5.2,18.1,6.98,634.4,43.1,48.3,46,CCMF,CCF
Kloeppel et al. (5),Tree,E,G ,Pinaceae,Picea_mariana,5,-25.53,-7.9,E,18.09,,45.93,-66.63,"Fredericton, NB Canada ",NAm,72,1142.4,275.67,5.2,18.1,6.98,634.4,43.1,48.3,46,CCMF,CCF
Kloeppel et al. (5),Tree,D,G ,Pinaceae,Larix_larcina,5,-28.02,-7.9,E,20.7,20.17,52,-105,"Candle Lake, SK Canada ",NAm,556,390.24,178.29,2,16.1,6.4,726.1,49.5,58.4,51,CCEF,CCF
Kloeppel et al. (5),Tree,E,G ,Pinaceae,Picea_mariana,5,-27.01,-7.9,E,19.64,,52,-105,"Candle Lake, SK Canada ",NAm,556,390.24,178.29,2,16.1,6.4,726.1,49.5,58.4,51,CCEF,CCF
Kloeppel et al. (5),Tree,D,G ,Pinaceae,Larix_larcina,5,-28.47,-7.9,E,21.17,20.55,56,-98.5,"Thompson, MB Canada A",NAm,213,524.64,228,-2.5,14.7,5.73,616,43.8,64,62,CCEF,CCF
Kloeppel et al. (5),Tree,E,G ,Pinaceae,Picea_mariana,5,-27.29,-7.9,E,19.93,,56,-98.5,"Thompson, MB Canada A",NAm,213,524.64,228,-2.5,14.7,5.73,616,43.8,64,62,CCEF,CCF
Kloeppel et al. (5),Tree,D,G ,Pinaceae,Larix_decidua,2,-27.84,-7.9,E,20.51,19.45,45.55,15.15,"Radenci, Slovenia",EU,300,1235.28,370.11,9.8,18.8,6.21,668.4,39,27.3,23,CCMF,CCF
Kloeppel et al. (5),Tree,E,G ,Pinaceae,Picea_abies,2,-25.81,-7.9,E,18.38,,45.55,15.15,"Radenci, Slovenia",EU,300,1235.28,370.11,9.8,18.8,6.21,668.4,39,27.3,23,CCMF,CCF
Kloeppel et al. (5),Tree,D,G ,Pinaceae,Larix_decidua,3,-28,-7.9,E,20.68,19.7,46.25,14.2,"Kamniska, Slovenia",EU,1700,1721.04,468.69,8.2,17.6,6.03,179,14.6,29,20,CCMF,CCF
Kloeppel et al. (5),Tree,E,G ,Pinaceae,Picea_abies,2,-26.14,-7.9,E,18.73,,46.25,14.2,"Kamniska, Slovenia",EU,1700,1721.04,468.69,8.2,17.6,6.03,179,14.6,29,20,CCMF,CCF
